SETOR_ATIV,DENOM_CIA,ticker,DT_FIM_EXERC,roe,margem_liquida,cagr_lucro_5a,dl_ebitda,p_l,rank_magic
Emp. Adm. Part. - Intermediação Financeira,ITAÚSA S.A.,ITSA4,2025-09-30,17.42,198.17,17.64,,7.02,
Emp. Adm. Part. - Sem Setor Principal,TREVISA INVESTIMENTOS S.A.,LUXM4,2025-09-30,17.04,16.63,22.07,-0.04098762798634812,4.92,20.0
Emp. Adm. Part. - Sem Setor Principal,CSU DIGITAL S.A.,CSUD3,2025-09-30,18.68,15.49,,,6.9,
Energia Elétrica,EMAE - EMPRESA METROP. DE AGUAS E ENERGIA S.A.,EMAE4,2025-09-30,74.16,186.36,,-0.4061196345175001,3.01,4.0
Energia Elétrica,ENGIE BRASIL ENERGIA S.A.,EGIE3,2025-09-30,21.93,22.08,0.43,2.3992541713284243,10.87,50.0
Farmacêutico e Higiene,BLAU FARMACÊUTICA S.A.,BLAU3,2025-09-30,18.08,22.21,3.13,0.41616301862136557,5.3,46.0
Metalurgia e Siderurgia,SCHULZ S.A.,SHUL4,2025-09-30,17.7,13.4,15.29,-0.28676212535972484,5.75,35.0
"Máquinas, Equipamentos, Veículos e Peças",METALURGICA RIOSULENSE S.A.,RSUL4,2025-09-30,29.48,16.96,,-0.35937723488857737,5.06,7.0
"Máquinas, Equipamentos, Veículos e Peças",MARCOPOLO S.A.,POMO4,2025-09-30,30.05,13.16,68.59,0.6363340073030147,5.95,24.0
Papel e Celulose,SUZANO S.A.,SUZB3,2025-09-30,17.34,16.14,,1.6888360536964395,7.54,60.0
"Saneamento, Serv. Água e Gás",CIA SANEAMENTO BASICO EST SAO PAULO,SBSP3,2025-09-30,20.22,22.9,,0.9145119299311516,10.13,48.0
"Saneamento, Serv. Água e Gás",CIA SANEAMENTO DE MINAS GERAIS-COPASA MG,CSMG3,2025-09-30,16.76,17.06,11.64,0.9056150059010545,9.64,55.0
Seguradoras e Corretoras,WIZ CO PARTICIPAÇÕES E CORRETAGEM DE SEGUROS S.A.,WIZC3,2025-09-30,31.2,28.9,13.0,0.08919824774650091,3.05,6.0
Serviços Transporte e Logística,ECORODOVIAS INFRAESTRUTURA E LOGÍSTICA S.A.,ECOR3,2025-09-30,38.59,14.41,,2.244899284954192,3.21,33.0
Serviços Transporte e Logística,HIDROVIAS DO BRASIL S.A.,HBSA3,2025-09-30,20.47,17.87,,1.233976796165722,11.43,38.0
Serviços Transporte e Logística,"MILLS LOCAÇÃO, SERVIÇOS E LOGÍSTICA S.A.",MILS3,2025-09-30,16.03,13.96,,0.6259239752028635,9.8,39.0
Têxtil e Vestuário,CAMBUCI S.A.,CAMB3,2025-09-30,21.96,16.16,25.43,-0.5243362831858407,5.46,13.0
Têxtil e Vestuário,ALPARGATAS S.A.,ALPA4,2025-09-30,15.93,15.35,34.95,-0.24856901354485958,9.0,36.0
Têxtil e Vestuário,GRENDENE S.A.,GRND3,2025-09-30,13.68,18.22,9.74,-1.6755488580981712,6.55,55.0
Bebidas e Fumo,AMBEV S.A.,ABEV3,2025-12-31,18.01,18.12,6.39,-0.5596672416701098,14.46,37.0
Comunicação e Informática,VALID SOLUÇÕES S.A.,VLID3,2025-12-31,15.61,13.03,,0.0472221021436428,6.42,30.0
Comércio (Atacado e Varejo),OUROFINO S.A.,OFSA3,2025-12-31,27.9,18.15,19.9,0.8689205910182691,5.87,24.0
Comércio (Atacado e Varejo),TECHNOS S.A.,TECN3,2025-12-31,16.33,14.94,,0.10053768424955965,6.28,32.0
"Construção Civil, Mat. Constr. e Decoração",SONDOTECNICA ENGENHARIA SOLOS S.A.,SOND5,2025-12-31,52.8,15.78,11.11,-0.682068756355592,3.96,2.0
"Construção Civil, Mat. Constr. e Decoração",MOURA DUBEUX ENGENHARIA S/A,MDNE3,2025-12-31,27.71,17.83,,0.7008066328912559,5.96,24.0
"Construção Civil, Mat. Constr. e Decoração",CURY CONSTRUTORA E INCORPORADORA S.A.,CURY3,2025-12-31,65.05,20.02,41.59,-0.24163638407073015,9.72,27.0
Embalagens,IRANI PAPEL E EMBALAGEM S.A.,RANI3,2025-12-31,16.67,14.35,21.15,1.6395099906675106,8.33,42.0
"Emp. Adm. Part. - Const. Civil, Mat. Const. e Decoração",JHSF PARTICIPACOES S.A.,JHSF3,2025-12-31,26.18,53.71,23.94,0.18200406784064782,3.29,10.0
"Emp. Adm. Part. - Const. Civil, Mat. Const. e Decoração",LPS BRASIL - CONSULTORIA DE IMOVEIS S.A.,LPSB3,2025-12-31,22.73,25.64,31.87,-1.025120080292494,4.43,14.0
"Emp. Adm. Part. - Const. Civil, Mat. Const. e Decoração",MULTIPLAN - EMPREEND IMOBILIARIOS S.A.,MULT3,2025-12-31,18.12,41.66,3.43,2.3301626474029526,14.02,57.0
Emp. Adm. Part. - Intermediação Financeira,ITAÚSA S.A.,ITSA4,2025-12-31,17.72,200.63,17.64,0.19808670873193568,9.16,45.0
Emp. Adm. Part. - Petróleo e Gás,PETRORECÔNCAVO S.A.,RECV3,2025-12-31,14.74,20.22,,0.8249714743430737,4.7,44.0
Emp. Adm. Part. - Sem Setor Principal,CSU DIGITAL S.A.,CSUD3,2025-12-31,22.8,17.01,,0.16252340125349324,7.44,35.0
Emp. Adm. Part. - Sem Setor Principal,TREVISA INVESTIMENTOS S.A.,LUXM4,2025-12-31,13.38,14.44,22.07,-0.2046279396647576,7.56,36.0
Emp. Adm. Part. - Telecomunicações,UNIFIQUE TELECOMUNICAÇÕES S.A.,FIQE3,2025-12-31,18.72,17.62,32.87,0.3842003593209028,9.93,38.0
Farmacêutico e Higiene,BLAU FARMACÊUTICA S.A.,BLAU3,2025-12-31,13.16,17.43,3.13,-0.03764039641340255,7.86,44.0
Metalurgia e Siderurgia,SCHULZ S.A.,SHUL4,2025-12-31,19.26,14.9,15.29,-0.40919631069329193,6.49,39.0
Metalurgia e Siderurgia,ELECTRO ACO ALTONA S.A.,EALT4,2025-12-31,25.59,16.37,29.25,0.9674543972920454,3.49,49.0
"Máquinas, Equipamentos, Veículos e Peças",METALURGICA RIOSULENSE S.A.,RSUL4,2025-12-31,23.52,15.33,,-0.5839642119752236,6.03,11.0
"Máquinas, Equipamentos, Veículos e Peças",MARCOPOLO S.A.,POMO4,2025-12-31,31.72,13.64,68.59,0.9764204154994619,6.4,31.0
Petróleo e Gás,PETROLEO BRASILEIRO S.A. PETROBRAS,PETR4,2025-12-31,26.49,22.23,77.68,1.0707273445453174,4.6,33.0
"Saneamento, Serv. Água e Gás",CIA SANEAMENTO BASICO EST SAO PAULO,SBSP3,2025-12-31,19.96,22.21,,1.4536766513304487,11.62,58.0
"Saneamento, Serv. Água e Gás",CIA SANEAMENTO DE MINAS GERAIS-COPASA MG,CSMG3,2025-12-31,16.5,17.0,11.64,1.8672441591044737,13.58,67.0
Seguradoras e Corretoras,WIZ CO PARTICIPAÇÕES E CORRETAGEM DE SEGUROS S.A.,WIZC3,2025-12-31,28.37,26.59,13.0,-0.022962577520151465,4.17,6.0
Serviços Transporte e Logística,"MILLS LOCAÇÃO, SERVIÇOS E LOGÍSTICA S.A.",MILS3,2025-12-31,19.09,16.39,,0.8526990624288433,10.57,40.0
Têxtil e Vestuário,CAMBUCI S.A.,CAMB3,2025-12-31,22.38,17.85,25.43,-0.7986818381170508,5.72,15.0
Têxtil e Vestuário,VULCABRAS S.A.,VULC3,2025-12-31,48.01,32.73,105.82,0.8733420558338035,4.86,43.0
Têxtil e Vestuário,GRENDENE S.A.,GRND3,2025-12-31,20.44,24.95,9.74,-2.322644149918267,6.8,56.0
